जोनोम लायि
जोनोम लायै
उजियि
उजियै
हाबि
हाबै
मोनफैनाय
सफैनाय
फैनाय
बाहायजायि
बाहायजायै
सोलियि
बिफा गैजायि
बिफा गैजारोङि
बिफा गैयि
बिफा गैरोङि
खांग्रा-बाग्रा गोनां
बिमा-बिफा गोनां
हेफाजाब गोनां
मदद गोनां
सहाय गोनां
बिमा गैजायि
बिमा गैरोङि
बिमा गैजारोङि
मुं गैयि
मुं गैयै
नाम गैयि
नाम गैयै
काजल गोनां
काजल फुननाय गोनां
भुगिफेरनाङै
भुगिफेरनाङि
मावथि
खामानियाव गोसो गुदुं
सम जोबनाय
सम थुंगेनाय
सम बारलांनाय
गुबै नङि
आसोल नङि
गुबुन गुबुन महरनि
खौसेथि गैयि
ज गैयि
हाबा-जानाय-बिमा
गनायथि गोनां फिसा
गुबै
गाहाइ
आसोल
नंगुबै
गाव गावनि
निजि-निजिनि
सोदाङि
गोथां दै
गोथार नङि
खौसेथिगोनां
खौसेथि
मान गैयि
मान गैयै
लाजा गैयि
लाजि गैयै
गाव-हारि
गावनि हारि
समान-थाखो
गोगो देहानि
गोग्गो देहानि
मोजां देहानि
गाहाम देहानि
आंगुरनि
गावनोगाव जानाय
हारसिङै जानाय
सैथोथि
फोरमानथि
सागान गैयि
मुंसाय गैयि
खैहाबनाय
खैनाय
आगोननि
आगोन दानारि
आगोनारि
थार बुंग्रा आइजो
सैथो बुंग्रा आइजो
दोंसेयारि
दोंसे सिरि गोनां
सिरिसे गोनां
समायना
रुइदोब महरनि
रुइदुब महरनि
सोलोगोनां
सोलोगोरों
बुद्दिगोरों
बुद्दिगोनां
मेलेमगोनां
मेलेमजिबि
मेलेमारि
थादग्रा
थाथग्रा
जिरायदबग्रा
सिबिजाथाव
फुजिजथाव
जब-जब
सिथोब-सिथोब
एखुथिया
एखुथा थाग्रा
हारसिं थाग्रा
फुजिजाथाव
दाइन दानारि गथ
स्नि दानारि
स्नि दाननि
बिबार गैयि
बिबार बारि
खम जाग्रा
एसेल जाग्रा
समजों थांग्रा
समजों खारफाग्रा
समखौ बाहायनो गोरों
गुरै
नोरोम
सनस्रा
संस्रा
खालि
दन्द्रा
खंख्ला
फफ्ला
फंफ्ला
सस्रंगा
उरांगा
खानथिजों थांग्रा
खान्थिजों थांग्रा
खानथि मानिग्रा
खान्थि मानिग्रा
खानथिजों सोलिग्रा
खान्थिजों सोलिग्रा
खानथि फालिग्रा
नेम फालिग्रा
नेम मानिग्रा
नियम मानिग्रा
नियम फालिग्रा
हारागैयि
सुथुर गोनां
सुथ्रा गोनां
सुथुरथि गोनां
सुथ्रामि गोनां
जोबस्रांहोग्रा
फोजोबस्रांग्रा
जोबस्रांनाय गोनां
उदैयाव फिसा गोनां
नुजाथिनाय
नुजाथिफैनाय
जौगालु गैयि
आनैनि
आमायनि
मुवा लाखोमाग्रा
लाखोमाग्रा
नखरारि नङि
बोरला गावग्रा
जिंगा गैयि
सिन्था गैयि
हेंथा गैयि
बेरेखा गैयि
दिदोम
थिर गोसो
स्थिर गोसो
थि सिमायारि
सिमागोनां
थि सिमा गैयि
सिमा थि गैयि
न-बां
फरायसा थाग्रा न
हस्टेल
फोलेरारि नङै
फोलेरारि नङि
गुफुर
आवग्रिनाय नङि
आवग्रिनाय नङै
आवग्रिखानाय नङि
थिखानाय नङि
थिखानाय नङै
थिनाय नङि
थिनाय नङै
नोजोर गोनां
नुनो हानाय
मेगन गोनां
बाहायजाथाव
बाहायथाव
आदै-मादैनि फिसाला
गावनि सायाव सोनारग्रा
गुबुननियाव सोनारग्रा
गुबुननाव सोनारग्रा
मालायनाव सोनारग्रा
मालायनियाव सोनारग्रा
हारागोनां
बेगेंगोनां
हारानि
गावसन्मान गैयि
राहा गैजायि
राहा गैयि
अनसुंथाय गैयि
अनसुंथाय गैजायि
बेखेवजाथाव
फोरमायजाथाव
मावग्रा
खालामग्रा
मावगिरि
खालामगिरि
जाहोग्रा
दाय गोनां
भाग्यबादि
बरदाव सोनारग्रा
खाफालाव सोनारग्रा
लुबैनाय बादि
हास्थायनाय बादि
मिजिंथिनाय बादि
आसा बादि
आसा खालामनाय बादि
समारि
समायारि
गुबुनारि
गुबुन हारिनि
गुबुन हारि
फुलुङारि
फुलुंनि
मुलाम्फा मोनहोग्रा
मुलाम्फा होग्रा
मुलुगमा देरहाग्रा
मुलुगमा जैजाग्रा
दोनी
धोनि
दोहोनि
थिसनफिन
दोनफिन
थाहोफिन
सेफायजाथाव
सिफायजाथाव
बुफायजाथाव
रावजोंबो गोरोबि
रावजोंबो गोरोबै
रावजोंबो मिलायि
लोगो गोनां
बिसुखे गोनां
रिंसार गोरोबथि गोनां
रिंसार गोरोबथाइ गोनां
खाजोना गोनां
मासुल गोनां
दानज्रं
दानद्रं
फरायजाथावि
फरायजाथावै
फरायनो हाथावि
फरायजायि
सिफायहायि
सेफायहायि
सेफायनो हायि
सिफायजायि
सेफायजायि सिफायनो हायि
बुफायहायि
बुफायनो हायि
बुफायजायि
अनजाथावि बुंग्रा
अनजाथाव नङि बुंग्रा
हामजायि बुंग्रा
हामजाथाव नङि बुंग्रा
एमफौ जानाय गोनां
एमफौ गोनां
हाबजाथाव
हाबथाव
जानो-लोंनो हाथाव
लोंनो-जानो हाथाव
उल्थायै दावनायगोनां
उल्था दावबायनाय गोनां
मावथि नङि
मावथि नङै
बादुला
मावनो बाग्रा
अलसिया
मोदोम गोनां
मोदोमगोनां
थाजाथाव
थानोहाथाव
थाथाव
थग्रोन
आंजां
सनसल
सोरां गोनां
जोंथि गोनां
जोंसारनाय गोनां
इराकारि
इराकनि
मेगन खेबि
मेगन खेबै
गोसो जायि
गोसो जायै
फसन्द गैयि
फसन्द गैयै
अफसन्द
बिदै गैयि
बिदै गैयै
जुथि गैयि
जुथि गैयै
सोलिग्रा
थगायग्रा
फाखिग्रा
दुथां
गेदेर गेदेर बाथ्रा गोनां
गिदिर गिदिर बाथ्रा गोनां
गांगाथेफा बाथ्रा गोनां
मिथिनो लुबैयि
मिथिनो हास्थायि
मिथिनो गोसो जायि
सिबिजाथाव मोदाइजो
सिबिजाथाव मोदायजो
जालामा गोनां
गोबा
गोब्बा
आदर लायि
आदर लायै
सोंङि
सोङै
जेथो सिफायनाय
सन्देह गैयि
गोनो-गोथो गैयि
सन्देह गोनां
गोनो-गोथो गोनां
जौसाङाव दिन्थिजाथाव नङि
जौसाङाव दिन्थिजाथाव नङै
सम उनसंनो रोङि
सम फालिनो रोङि
समनि बेसेन मिथियि
बारजायि
फार जाजायि
इयुनाव जानो गोनां
उनाव जानो गोनां
गुरु गैजायि
गुरु गैजायै
दन्दराव थाग्रा
गफायाव थाग्रा
गुफायाव थाग्रा
खंखराव थाग्रा
गामियारि
गामिनि
सुफि
सुफियारि
दाहार होग्रा
रिन होग्रा
गाज्रि गोसो
मेगन गोसा
बिबान गैयि
दायित्त गैयि
दायि
महर होयि
मोख्रानि
मोख्रायारि
मानसिजों सालायजाग्रा
जन्थ्रजों सालायजाग्रा
जन्थ्रवारि
गोसो होयि
ध्यान गैयि
सोदांनाय
फोसाबनाय
गेबें
लेमनाय
देमनाय
हायग्लायनाय
आर्जसमाजारि
आर्जवारि
आर्जसमाजनि
हाबा जानाय
हाबा खालामनाय
मिलिनाय गोनां
मिनि-रंजा गोनां
मिलायनाय गोनां
गोरोबनाय गोनां
मोजां लैखोन
मोजां लक्षन
मियादि
सिमा गोनां
जाथाय जाथाव
मिथिजानाय
लिरि
लिरनाय नङि
लिरनाय गोनां
गाहाय नङि
गाहाय नङै
गुबै नङै
आसोल नङै
अरथाय गोनां
गोसारथाय गोनां
गुवारथि गोनां
बिदैनिफ्राय उजिग्रा जिबि
बिदै दैग्रा जिबि
बिदैनिफ्राय जाग्रा जिबि
मानसिनि गोनां
सुबुंनि गोनां
आरोंदायारिगैयि
कारिकरिगैयि
आरोंदायारिगैयै
कारिकरिगैयै
दिन्थिजाथाव
दिन्थिहाथाव
दिन्थिथाव
खाथिनि
खाथि
बांग्रा
बांहोग्रा
बारायग्रा
जाग्रा
गोसो मोन्दांग्रा
गोसो हमदांहाग्रा
सिङाव थाग्रा
गुरुकुलारि
गुरुकुलनि
गुरुकुलाव थाग्रा
उदैनि
बेबुनि
बिगियानारि नङि
बिगियानारि बेरेखा
बिगियानारि हेंथा
खोमोन गोनां सि
खोमोन गोनां जि
खोमोन गोनां हि
उलनि सि
उलनि हि
उलनि जि
बाधा गैयि
होबथानाय गैयि
सु गैयि
खु गैयि
सुथुर गैयि
सुथुर गैजायि
बुंजाथावि
बुंथावि
खिन्थाथावि
मावि
आसा खालामाजासे
मिजिं खालामाजासे
हास्थायालासे
हास्थायाजासे
हरखाब
गोख्रै
थाब
आतोनारि लुबैनाय गैयि
देहायारि लुबैनाय गैयि
सोलेर गैयि
देहा गैयि
एबथिरा
बेसमारि
मिथिजायि
मिथिसारजायि
रांगोथे
देउलिया
गाहाय हारिनि
उन्दै हारिनि
नेहाद बंसनि
फिसा हारि
गाहाय थाखो
खालामि
गहेना गैयि
अलंकार गैयि
साजायि
लाखोमानाय गैयि
सिखोमानाय गैयि
दोनखामाना गैयि
नखर गैजायि
नखर गैजायै
नखर गैयि
नखर गैयै
लोगो गैजायि
लोगो गैजायै
लोगो गैयि
लोगो गैयै
फारनै आखायगोनां
मोननै आखायगोनां
हादरारि सोमोन्दै
अनफावरि
अनखाउरु
अनफावरु
अनख'
अनसेमा
अनसुला
अनसुलि
गोसो गुवार
बिखा गुवार
अननाय गोनां
खहा जायि
खहा जायै
जखम जायि
जखम जायै
आघाद जायि
आघाद जायै
अनिष्ट जायि
अनिष्ट जायै
आयथा अबस्था
निमाहा होथावि
निमाहा होथावै
खेमा होथावि
खेमा होथावै
सोलायरोङि
सोलायरोङै
सोलाय जायि
जुगामि
अरायथा
सिबिनाय गैयि
सिबिनाय गैयै
जेनि
जेनै
जेनरोङि
जेनरोङै
जाथावि
जाथावै
जाजायि
जाजायै
मुलुगनाङारि
सार्बभौम
दैदेन जायि
बाबेनलाङि
हाबथावि
हाबजाथावि
हाबनो हाथावि
मोनथावि
मोननो हाथावि
बारनो हायि
बारलांनो हायि
उन समनि
फैगौ समनि
सिगांग्रा
सिगां थांग्रा
आगोलाव थाग्रा
गावनो रोंनाय
गावनो-गाव रोंनाय
इन्द्रियजों मोनदांमोनि
इन्द्रियजों मोनदाङि
